mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	217				40				
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	218				40				
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	219				40				
18	18	70	70	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	220				40				
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	221				40				
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	222				40				
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	223				40				
18	18	71	71	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	224				40				
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	225				40				
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	226				40				
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	227								
18	18	68	68	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	228				41				
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	229				41				
18	18	69	69	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	230				41				
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	231				41				
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	232				41				
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	233				41				
18	18	70	70	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	234				41				
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	235				41				
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	236				41				
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	237				41				
18	18	71	71	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	238				41				
